Episodes,Success,Mean Reward,Mean Collision,Mean Sharp Corner,Epsilon,Mean Value,Mean Loss
6155.000000,0.740000,51.502003,0.240000,0.320000,0.020000,69.248367,135.701721
6156.000000,0.750000,53.540001,0.230000,0.320000,0.020000,73.732826,123.023293
6157.000000,0.750000,53.630001,0.230000,0.360000,0.020000,28.449327,100.670586
6158.000000,0.740000,52.410000,0.230000,0.490000,0.020000,23.823183,114.332054
6159.000000,0.750000,54.440994,0.220000,0.490000,0.020000,41.943996,137.264404
6160.000000,0.740000,52.413994,0.230000,0.490000,0.020000,42.721859,124.159164
6161.000000,0.740000,52.422001,0.230000,0.490000,0.020000,52.833473,133.279053
6162.000000,0.740000,52.410995,0.230000,0.480000,0.020000,35.448753,145.483719
6163.000000,0.740000,52.432999,0.230000,0.490000,0.020000,42.576588,85.698929
6164.000000,0.740000,52.465000,0.230000,0.500000,0.020000,51.489811,102.830803
6165.000000,0.740000,52.465996,0.230000,0.500000,0.020000,61.395542,130.849350
6166.000000,0.750000,54.565994,0.220000,0.510000,0.020000,66.719582,136.148514
6167.000000,0.750000,54.565994,0.220000,0.510000,0.020000,63.673435,128.803894
6168.000000,0.760000,56.607998,0.210000,0.510000,0.020000,65.833786,149.880234
6169.000000,0.760000,56.580002,0.210000,0.540000,0.020000,37.733356,100.466171
6170.000000,0.760000,56.579002,0.210000,0.550000,0.020000,62.025906,92.141319
6171.000000,0.750000,55.416004,0.210000,0.580000,0.020000,25.836269,102.906464
6172.000000,0.750000,55.523006,0.210000,0.580000,0.020000,47.332226,83.560913
6173.000000,0.750000,55.557003,0.210000,0.580000,0.020000,65.491898,107.835999
6174.000000,0.760000,57.563007,0.200000,0.580000,0.020000,65.243629,133.562454
6175.000000,0.760000,57.620010,0.200000,0.580000,0.020000,49.100895,120.028877
6176.000000,0.760000,57.703007,0.200000,0.580000,0.020000,41.470451,132.624832
6177.000000,0.760000,57.781017,0.200000,0.580000,0.020000,59.406487,114.129547
6178.000000,0.750000,55.716015,0.210000,0.580000,0.020000,60.829037,127.949219
6179.000000,0.750000,55.732010,0.210000,0.590000,0.020000,49.176945,144.904816
6180.000000,0.750000,55.734013,0.210000,0.590000,0.020000,60.208824,123.518692
6181.000000,0.750000,55.729015,0.210000,0.580000,0.020000,73.965996,124.988785
6182.000000,0.760000,57.736015,0.200000,0.590000,0.020000,76.767967,131.444534
6183.000000,0.770000,59.781017,0.190000,0.590000,0.020000,75.277832,85.719055
6184.000000,0.770000,59.768017,0.190000,0.600000,0.020000,73.199883,108.991974
6185.000000,0.760000,57.735008,0.200000,0.600000,0.020000,46.298958,112.486633
6186.000000,0.760000,57.736015,0.200000,0.600000,0.020000,57.539314,123.141464
6187.000000,0.760000,57.662010,0.200000,0.600000,0.020000,57.072548,140.350998
6188.000000,0.760000,57.612011,0.200000,0.630000,0.020000,49.817680,143.243973
6189.000000,0.770000,59.596016,0.190000,0.670000,0.020000,38.134281,163.710098
6190.000000,0.770000,59.717010,0.190000,0.670000,0.020000,63.072666,126.854141
6191.000000,0.770000,59.744015,0.190000,0.680000,0.020000,67.145470,117.669113
6192.000000,0.760000,57.667011,0.200000,0.700000,0.020000,22.466656,174.944260
6193.000000,0.760000,57.654007,0.200000,0.700000,0.020000,42.184174,129.286484
6194.000000,0.770000,59.638012,0.190000,0.700000,0.020000,53.906399,115.986130
6195.000000,0.770000,59.605011,0.190000,0.700000,0.020000,58.230125,108.231552
6196.000000,0.770000,59.604008,0.190000,0.700000,0.020000,77.201752,119.848129
6197.000000,0.780000,61.600006,0.180000,0.700000,0.020000,69.387436,135.035751
6198.000000,0.780000,61.629005,0.180000,0.700000,0.020000,67.019196,106.684875
6199.000000,0.780000,61.618004,0.180000,0.700000,0.020000,57.445961,104.708740
6200.000000,0.790000,62.709000,0.180000,0.680000,0.020000,51.859390,166.308060
6201.000000,0.800000,64.785004,0.170000,0.690000,0.020000,69.910324,142.192017
